SH1204510.09FU,51,7182,0,11,0,1,0,0,0,21,0,0,0,1,0,0,0,4,0,0,0,0,0,0,10,0,0,0,11,0,7,24,35,0,295,0,3,0,0,0,0,0,1,1,21,0,1102,12,0,0,4,0,2281,0,0,1,26,0,0,0,0,0,54,0,0,6,10,34,0,0,465,1,56,2083,247,4,34,0,3,0,0,0,3,0,2,0,0,0,1,5,3,1,27,0,11,4,97,10,38,23,0,10,0,2,12,0,61,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Coprinus_subdomesticus|HQ847038|SH1204510.09FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Coprinus;s__Coprinus_subdomesticus
SH1214387.09FU,22,6195,0,0,5,2534,0,0,0,4,0,3,14,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,3462,0,3,30,0,0,0,0,18,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,34,5,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Cortinarius_sp|MG553078|SH1214387.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__Cortinarius_sp
SH0915752.09FU,8,5877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2374,0,0,0,0,773,0,1057,0,899,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Absidia_sp|UDB0820210|SH0915752.09FU|reps|k__Fungi;p__Mucoromycota;c__Mucoromycetes;o__Mucorales;f__Cunninghamellaceae;g__Absidia;s__Absidia_sp
SH2853817.09FU,14,5660,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,5556,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,44,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,100%|Rhodotorula_glutinis|KY104779|SH2853817.09FU|refs|k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;s__Rhodotorula_glutinis
SH1216921.09FU,45,5595,0,0,105,0,0,7,0,285,0,0,478,0,16,0,0,1,0,90,0,7,0,29,178,0,0,0,0,0,1221,0,0,0,4,0,105,0,65,0,0,0,477,153,337,3,0,843,408,48,0,0,0,0,0,4,9,0,0,0,0,1,51,0,0,45,0,3,0,0,17,3,214,5,0,6,35,249,8,0,0,13,14,0,0,0,0,1,17,0,0,4,0,0,1,7,0,0,0,0,0,20,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Phanerochaete_guangdongensis|MZ422813|SH1216921.09FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Phanerochaete;s__Phanerochaete_guangdongensis
SH0898171.09FU,63,5369,40,0,7,15,44,54,0,24,0,14,9,11,1,3,0,1417,4,21,70,155,0,19,321,6,0,17,3,981,40,1,0,0,30,0,6,2,316,2,23,4,3,17,6,0,0,2,6,13,0,0,0,0,0,0,1,0,0,0,11,0,49,0,0,277,0,0,0,13,3,7,1,0,0,195,142,19,5,0,0,44,101,177,227,0,0,1,3,1,0,94,0,0,0,127,107,0,1,0,0,0,0,29,21,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Umbelopsis_sp|UDB06946981|SH0898171.09FU|reps|k__Fungi;p__Mucoromycota;c__Umbelopsidomycetes;o__Umbelopsidales;f__Umbelopsidaceae;g__Umbelopsis;s__Umbelopsis_sp
SH1238898.09FU,41,5112,0,0,0,0,0,0,0,3,0,0,1,0,6,0,5,20,0,3,1,0,0,0,0,1,0,0,0,2,8,0,0,0,21,0,8,0,0,0,0,0,5,4,4,0,4780,4,0,30,0,0,0,3,0,0,5,0,0,0,0,0,13,0,0,0,0,3,0,0,3,0,9,1,6,2,11,1,3,0,0,0,22,0,11,0,0,1,0,0,34,0,1,0,1,10,23,0,1,0,0,0,0,2,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Sphaerobolus_sp|AY627799|SH1238898.09FU|reps|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Geastrales;f__Sphaerobolaceae;g__Sphaerobolus;s__Sphaerobolus_sp
SH1286785.09FU,1,4766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Kazachstania_aerobia|KJ707085|SH1286785.09FU|reps|k__Fungi;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Kazachstania;s__Kazachstania_aerobia
SH1165324.09FU,73,4636,0,0,12,4,0,23,0,144,0,0,9,0,47,1,0,5,39,3,0,0,0,61,10,97,0,0,24,0,23,0,79,61,18,93,329,30,27,0,1,130,54,23,16,53,4,24,11,10,0,17,10,47,31,33,11,0,8,0,0,0,39,49,0,6,0,15,16,0,2,24,23,2,811,138,43,3,156,0,46,33,29,7,17,0,6,0,20,1,7,634,88,0,0,15,2,17,615,5,0,42,0,13,8,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100%|Cladophialophora_sp|UDB03027900|SH1165324.09FU|reps|k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora;s__Cladophialophora_sp
SH1257613.09FU,20,4576,0,0,0,3,0,6,0,16,0,0,0,0,0,0,0,0,0,0,2551,0,0,56,1,0,0,844,0,23,0,0,1,0,0,0,4,56,2,0,338,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,655,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100%|Inocybe_bulbinella|KJ756486|SH1257613.09FU|refs|k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_bulbinella
