"Site","Transect","Location","Res_total_Location","myc_2nd_w","Res_remain_w","mean_undam_resin_w","myc_w_per_bead","hypo_bag","myc_2nd_w_est_yield","Tube_ID","harvest_date","1st_Soil_Sample","Bag_Install","Pair","Latitude","Longitude","Site_Pair","Days_Installed","log10_myc_2nd_w_est_yield","Biomass_day","log10_biomass_day","biomass_g_ha_day","Vegetation.Class","Vegetation.Class_abbreviation","Fire.Interval","Most.Recent.Fire_Year","2nd.Most.Recent.Fire_Year","3rd.Most.Recent.Fire_Year","Fire.Severity","FESM_Fire.Severity.Category","Fire.Type","Sample.Date_Fieldwork","Tree.Basal.Area_m2","Litter.Cover_20mm_perc","Mean.Litter.Depth_mm","Herb.Cover_0.50cm_perc","Shrub.Cover_50.200cm_perc","Shrub.Connected_50.200cm_perc","Mean.Max.Shrub.Height_cm","Herb.Shrub.Connected_0.200cm_perc","All.Tree.Canopy.Cover_perc","Live.Tree.Canopy.Cover_perc","Dead.Tree.Canopy.Cover_perc","Bray.P","NH4","NO3","Total.P","Carbon","Nitrogen"
"10","2","47",26.457,0.582,25.431,28.19075,0.0228854547599387,28.19075,0.645158133773741,"92",2024-03-08,2023-10-18,2023-10-18,2,-33.48607,150.40622,"10-56",142,-0.190333823026691,0.0045433671392517,-2.34262216740975,302.89114261678,"Sydney Montane DSF","SM","Short",2019,2013,"2005","High","4","Wildfire",2022-08-16,34679.44,29.5918367346939,5.6551724137931,74,28,0,90.04,24,11,11,0,2.39635854341737,5.2345,0.0175,98.7,5.5992,0.14579
"11","1","3",28.752,4.121,27.681,28.4243333333333,0.14887467938297,28.4243333333333,4.23166351167467,"90",2024-03-08,2023-10-18,2023-10-18,5,-33.51962,150.35631,"11-29",142,0.626511126694224,0.0298004472653146,-1.52577721768883,1986.69648435431,"Sydney Montane DSF","SM","Short",2019,2013,"2011","High","5","Wildfire",2022-08-09,53938.73,27.5510204081633,10.9285714285714,68,36,0,94.78,32,20,7,13,1.62254901960784,1.9035,0.125,106.1,3.2763,0.03378
"11","1","16",15.474,0.894,14.474,28.4243333333333,0.0617659251070886,28.4243333333333,1.75565524388559,"88",2024-03-08,2023-10-18,2023-10-18,5,-33.51962,150.35631,"11-29",142,0.24443923800638,0.0123637693231379,-1.90784910637668,824.251288209196,"Sydney Montane DSF","SM","Short",2019,2013,"2011","High","5","Wildfire",2022-08-09,53938.73,27.5510204081633,10.9285714285714,68,36,0,94.78,32,20,7,13,1.62254901960784,1.9035,0.125,106.1,3.2763,0.03378
"11","1","33",27.954,0.535,26.922,28.4243333333333,0.019872223460367,28.4243333333333,0.564854703711958,"82",2024-03-08,2023-10-18,2023-10-18,5,-33.51962,150.35631,"11-29",142,-0.248063250394992,0.00397785002614055,-2.40035159477805,265.190001742703,"Sydney Montane DSF","SM","Short",2019,2013,"2011","High","5","Wildfire",2022-08-09,53938.73,27.5510204081633,10.9285714285714,68,36,0,94.78,32,20,7,13,1.62254901960784,1.9035,0.125,106.1,3.2763,0.03378
"11","1","47",28.567,0.513,27.605,28.4243333333333,0.0185835899293606,28.4243333333333,0.528226154682123,"76",2024-03-08,2023-10-18,2023-10-18,5,-33.51962,150.35631,"11-29",142,-0.277180098863844,0.00371990249776143,-2.4294684432469,247.993499850762,"Sydney Montane DSF","SM","Short",2019,2013,"2011","High","5","Wildfire",2022-08-09,53938.73,27.5510204081633,10.9285714285714,68,36,0,94.78,32,20,7,13,1.62254901960784,1.9035,0.125,106.1,3.2763,0.03378
"11","2","3",25.138,1.319,24.188,27.3763333333333,0.0545311724822226,27.3763333333333,1.49286355493082,"95",2024-03-08,2023-10-18,2023-10-18,5,-33.51962,150.35631,"11-29",142,0.174020115796992,0.0105131236262734,-1.97826822858606,700.874908418225,"Sydney Montane DSF","SM","Short",2019,2013,"2011","High","5","Wildfire",2022-08-09,53938.73,24.4897959183673,7.375,64,22,0,41,16,15,7,8,0.400560224089636,2.5485,0.2895,77.9,1.706,0.04369
"11","2","16",15.656,0.953,14.656,27.3763333333333,0.0650245633187773,27.3763333333333,1.78013412026929,"87",2024-03-08,2023-10-18,2023-10-18,5,-33.51962,150.35631,"11-29",142,0.250452724499083,0.0125361557765443,-1.90183561988397,835.743718436285,"Sydney Montane DSF","SM","Short",2019,2013,"2011","High","5","Wildfire",2022-08-09,53938.73,24.4897959183673,7.375,64,22,0,41,16,15,7,8,0.400560224089636,2.5485,0.2895,77.9,1.706,0.04369
"11","2","33",28.284,0.643,27.282,27.3763333333333,0.0235686533245363,27.3763333333333,0.645223309630281,"96",2024-03-08,2023-10-18,2023-10-18,5,-33.51962,150.35631,"11-29",142,-0.190289951479998,0.00454382612415691,-2.34257829586305,302.921741610461,"Sydney Montane DSF","SM","Short",2019,2013,"2011","High","5","Wildfire",2022-08-09,53938.73,24.4897959183673,7.375,64,22,0,41,16,15,7,8,0.400560224089636,2.5485,0.2895,77.9,1.706,0.04369
"11","2","47",28.707,0.441,27.696,27.3763333333333,0.01592287694974,27.3763333333333,0.435909987001733,"85",2024-03-08,2023-10-18,2023-10-18,5,-33.51962,150.35631,"11-29",142,-0.360603180878949,0.00306978864085728,-2.51289152526201,204.652576057152,"Sydney Montane DSF","SM","Short",2019,2013,"2011","High","5","Wildfire",2022-08-09,53938.73,24.4897959183673,7.375,64,22,0,41,16,15,7,8,0.400560224089636,2.5485,0.2895,77.9,1.706,0.04369
"12","1","3",26.847,1.786,25.85,26.4163333333333,0.0690909090909091,26.4163333333333,1.82512848484848,"49",2024-03-08,2023-09-27,2023-09-27,6,-33.52589,150.56587,"12-31",163,0.261293443201564,0.0111971072690091,-1.95089416120239,746.473817933941,"Sydney Coastal DSF","SC","Long",2019,2001,"NA","High","4","Wildfire",2022-08-17,15743.3,23.469387755102,8.28260869565217,72,64,10,120.64,64,26,0,26,1.90826330532213,3.08,0.214,79.7,2.8202,0.05049
"12","1","16",26.655,0.218,25.665,26.4163333333333,0.0084940580557179,26.4163333333333,0.224381868952529,"48",2024-03-08,2023-09-27,2023-09-27,6,-33.52589,150.56587,"12-31",163,-0.649012238913179,0.00137657588314435,-2.86119984331714,91.7717255429568,"Sydney Coastal DSF","SC","Long",2019,2001,"NA","High","4","Wildfire",2022-08-17,15743.3,23.469387755102,8.28260869565217,72,64,10,120.64,64,26,0,26,1.90826330532213,3.08,0.214,79.7,2.8202,0.05049
"12","1","33",12.62,0.191,11.59,26.4163333333333,0.0164797238999137,26.4163333333333,0.435333879781421,"47",2024-03-08,2023-09-27,2023-09-27,6,-33.52589,150.56587,"12-31",163,-0.361177532636871,0.00267075999865902,-2.57336513704083,178.050666577268,"Sydney Coastal DSF","SC","Long",2019,2001,"NA","High","4","Wildfire",2022-08-17,15743.3,23.469387755102,8.28260869565217,72,64,10,120.64,64,26,0,26,1.90826330532213,3.08,0.214,79.7,2.8202,0.05049
"12","1","47",25.747,0.97,24.76,26.4163333333333,0.0391760904684976,26.4163333333333,1.03488866451266,"45",2024-03-08,2023-09-27,2023-09-27,6,-33.52589,150.56587,"12-31",163,0.0148936299971625,0.00634901021173408,-2.1972939744068,423.267347448939,"Sydney Coastal DSF","SC","Long",2019,2001,"NA","High","4","Wildfire",2022-08-17,15743.3,23.469387755102,8.28260869565217,72,64,10,120.64,64,26,0,26,1.90826330532213,3.08,0.214,79.7,2.8202,0.05049
"12","2","3",25.345,0.688,24.318,25.7275,0.0282918003125257,25.7275,0.727877292540505,"54",2024-03-08,2023-09-27,2023-09-27,6,-33.52589,150.56587,"12-31",163,-0.137941829017014,0.00446550486221169,-2.35012943342097,297.700324147446,"Sydney Coastal DSF","SC","Long",2019,2001,"NA","High","4","Wildfire",2022-08-17,15743.3,21.4285714285714,5.69047619047619,58,36,2,66.2,34,32,2,30,1.50490196078431,11.163,0.2905,67.5,2.1151,0.017
"12","2","16",25.751,0.757,24.687,25.7275,0.0306639121804999,25.7275,0.78890580062381,"59",2024-03-08,2023-09-27,2023-09-27,6,-33.52589,150.56587,"12-31",163,-0.10297485067097,0.00483991288726264,-2.31516245507493,322.660859150843,"Sydney Coastal DSF","SC","Long",2019,2001,"NA","High","4","Wildfire",2022-08-17,15743.3,21.4285714285714,5.69047619047619,58,36,2,66.2,34,32,2,30,1.50490196078431,11.163,0.2905,67.5,2.1151,0.017
"12","2","33",25.761,0.967,24.773,25.7275,0.0390344326484479,25.7275,1.00425836596294,"68",2024-03-08,2023-09-27,2023-09-27,6,-33.52589,150.56587,"12-31",163,0.00184545830404123,0.00616109426971131,-2.21034214609992,410.739617980754,"Sydney Coastal DSF","SC","Long",2019,2001,"NA","High","4","Wildfire",2022-08-17,15743.3,21.4285714285714,5.69047619047619,58,36,2,66.2,34,32,2,30,1.50490196078431,11.163,0.2905,67.5,2.1151,0.017
"12","2","47",26.053,1.237,25.032,25.7275,0.0494167465643976,25.7275,1.27136934723554,"67",2024-03-08,2023-09-27,2023-09-27,6,-33.52589,150.56587,"12-31",163,0.104271736363795,0.0077998119462303,-2.10791586804016,519.98746308202,"Sydney Coastal DSF","SC","Long",2019,2001,"NA","High","4","Wildfire",2022-08-17,15743.3,21.4285714285714,5.69047619047619,58,36,2,66.2,34,32,2,30,1.50490196078431,11.163,0.2905,67.5,2.1151,0.017
"26","1","3",26.026,1.503,25.016,26.72625,0.060081547809402,26.72625,1.60575446714103,"51",2024-03-06,2023-09-28,2023-09-28,4,-33.4982,150.50014,"26-8",160,0.205679138876704,0.0100359654196314,-1.99844084377922,669.064361308763,"Sydney Coastal DSF","SC","Short",2019,2013,"2006","Low","2","Wildfire",2022-09-26,27642.28,39.7959183673469,25.2564102564103,82,52,8,133.54,50,42,39,16,1.73949579831933,6.337,0.178,57.8,4.5864,0.09911
