"OTU","kingdom","phylum","class","order","family","genus","species","guild","guild2"
"ITSall_OTUj_1017","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_19960","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUd_3001","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUa_9472","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUa_1237","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Phaeohelotium",NA,"mycorrhizal","Saprotroph"
"ITSall_OTUj_14242","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUa_6956","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUb_427","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_18564","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUb_49","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_2441","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius_chalybeus","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_8801","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_1415","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_14066","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUa_255","Fungi","Ascomycota","Dothideomycetes","Mytilinidales","Gloniaceae","Cenococcum",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_2249","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_215","Fungi","Basidiomycota","Agaricomycetes","Gomphales","Gomphaceae","Austrogautieria",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_12319","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_12430","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUa_3114","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_8538","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_549","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_27906","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_20223","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUc_1019","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_8735","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_12577","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_28171","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUm_5129","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_306","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUb_8161","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_1907","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_10663","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUb_3024","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_14184","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_10443","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUa_586","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_1517","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_90","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_8584","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Laccaria_alba","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUe_2810","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma","Scleroderma_areolatum","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_3346","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUc_407","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_119","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_12188","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_515","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Hysterangium",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_5056","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora","Thelephora_terrestris","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUf_540","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Hysterangium",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_3548","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita","Serendipita_vermifera","mycorrhizal","Orchid Mycorrhizal"
"ITSall_OTUa_797","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Hysterangium",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_720","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_6306","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_8394","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_593","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_19366","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_11014","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUe_4361","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_9461","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella_lateritia","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_28125","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUm_1894","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUg_230","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUf_542","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_240","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_4352","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_26","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_7159","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_272","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_685","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_605","Fungi","Basidiomycota","Agaricomycetes","Boletales","Suillaceae","Suillus",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_330","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_242","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_2527","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_6301","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_1016","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_175","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_8076","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_3174","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_65","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_serrata","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_931","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_1869","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_581","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_1255","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_8021","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","Hyaloscypha",NA,"mycorrhizal","Saprotroph"
"ITSall_OTUj_548","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUd_3965","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Descolea","Descolea_recedens","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_26487","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUe_4441","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_762","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Scleroderma",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_644","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_286","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_26677","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_brunneidisca","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_9626","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_9138","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_13635","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_17844","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_177","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Craterellus",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_3643","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Thelephora",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_14563","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_32","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_6712","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_9095","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_6757","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUj_28202","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"mycorrhizal","Ericoid Mycorrhizal"
"ITSall_OTUa_994","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_464","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_umerensis","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_4555","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_386","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Descolea",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_12223","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_20919","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_362","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_14517","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita",NA,"mycorrhizal","Orchid Mycorrhizal"
"ITSall_OTUj_1545","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_39","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_2566","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,"mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_28458","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_2155","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_199","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita_roseolamellata","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_172","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_2565","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_11060","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Chondrogaster",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_8759","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_3146","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_2058","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","Pisolithus_microcarpus","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUc_2427","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","Pisolithus_microcarpus","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_451","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_4434","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltriciella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_7612","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_403","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_14951","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_1429","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_7420","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_26","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_139","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_140","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_114","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus_claroideum","mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUm_355","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_5345","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_1470","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_12861","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUc_1846","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_1399","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_150","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_603","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_935","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_eburnea","mycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_74","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_111","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_6179","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_316","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus",NA,"mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUn_4986","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_8748","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_8899","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"mycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_10605","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Otidea","Otidea_formicarum","mycorrhizal","Ectomycorrhizal"
