"OTU","kingdom","phylum","class","order","family","genus","species","guild","mean_gs"
"ITSall_OTUb_2058","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","Pisolithus_microcarpus","Ectomycorrhizal","80.2764285714286"
"ITSall_OTUc_2427","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","Pisolithus_microcarpus","Ectomycorrhizal","80.2764285714286"
"ITSall_OTUa_9088","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_11951","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_2352","Fungi","Glomeromycota","Glomeromycetes","Gigasporales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUn_4434","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltriciella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUb_8659","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_7612","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUj_403","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUj_14951","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUk_1775","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUk_1719","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Bankeraceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_1429","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUb_8187","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_7420","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_16897","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUm_26","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUm_2633","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUm_139","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUm_4360","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUm_140","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUa_114","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus_claroideum","Arbuscular Mycorrhizal","37.45"
"ITSall_OTUm_355","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_5345","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUj_1470","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUm_12861","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_150","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUm_603","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUj_935","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_eburnea","Ectomycorrhizal","unknown"
"ITSall_OTUa_9510","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUj_74","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUm_111","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"Ectomycorrhizal","51.2346153846154"
"ITSall_OTUm_1506","Fungi","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae",NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUn_6179","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon",NA,"Ectomycorrhizal","54.6493333333333"
"ITSall_OTUn_5597","Fungi","Glomeromycota","Glomeromycetes","Diversisporales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUn_5925","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUn_1847","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUn_4186","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUn_3102","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
"ITSall_OTUn_316","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus",NA,"Arbuscular Mycorrhizal","37.45"
"ITSall_OTUn_4986","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUn_11820","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae",NA,NA,"Ectomycorrhizal","unknown"
"ITSall_OTUn_8748","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUn_8899","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUn_10605","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Otidea","Otidea_formicarum","Ectomycorrhizal","35.8466666666667"
"ITSall_OTUn_12191","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,"Arbuscular Mycorrhizal","unknown"
