"OTU","kingdom","phylum","class","order","family","genus","species","guild","mean_gs"
"ITSall_OTUj_549","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_27906","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_20223","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUc_1019","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUn_8735","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,"Ectomycorrhizal","57.595"
"ITSall_OTUj_12577","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis",NA,"Ectomycorrhizal","unknown"
"ITSall_OTUj_28171","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUm_5129","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"Ectomycorrhizal","62.89"
"ITSall_OTUa_306","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUb_8161","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus",NA,"Ectomycorrhizal","80.2764285714286"
"ITSall_OTUa_1907","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUj_10663","Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron",NA,"Ericoid Mycorrhizal","46.43"
"ITSall_OTUb_3024","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"Ectomycorrhizal","unknown"
