"OTU","kingdom","phylum","class","order","family","genus","species","exploration_type","guild","guild2"
"ITSall_OTUm_39","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"medium-distance_fringe","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_2566","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Rhizophagus",NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUa_2145","Fungi","Glomeromycota","Glomeromycetes","Diversisporales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_5244","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUm_14021","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUm_172","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUc_718","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUn_2565","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_11060","Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Chondrogaster",NA,"mat","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_8759","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus",NA,"long-distance","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_3146","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUb_2058","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","Pisolithus_microcarpus","long-distance","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUc_2427","Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","Pisolithus_microcarpus","long-distance","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_2352","Fungi","Glomeromycota","Glomeromycetes","Gigasporales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUa_7612","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_403","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_14951","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_1429","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_7420","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_26","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_2633","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUm_139","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_4360","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUm_140","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_114","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Claroideoglomeraceae","Claroideoglomus","Claroideoglomus_claroideum",NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUm_355","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_5345","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_1470","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_12861","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_150","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_603","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_935","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe_eburnea","short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_9510","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_74","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_111","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_1506","Fungi","Glomeromycota","Glomeromycetes","Gigasporales","Gigasporaceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUn_6179","Fungi","Basidiomycota","Agaricomycetes","Boletales","Rhizopogonaceae","Rhizopogon",NA,"long-distance","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_5597","Fungi","Glomeromycota","Glomeromycetes","Diversisporales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUn_5925","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUn_1847","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUn_4186","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
