"Site","Transect","Location","Fire.Interval","Fire.Severity","Latitude","Longitude","Ortho_P_mg_kg","Nitrate_mg_kg","Ammonia_mg_kg","pH","perc_myco_host_freq","AM_host","EcM_host","Biomass_day","Tube_ID","ratio_myco_nonmyco","myco_reads"
26,1,33,"Short","Low",-33.4982,150.50014,0.831818181818182,0.254545454545455,10.8712121212121,5.33,0.858369098712446,0.768240343347639,0.0858369098712446,0.00849466599021461,50,1,131732
26,2,3,"Short","Low",-33.4982,150.50014,1.12004069175992,0.256358087487284,0.256358087487284,5.1,0.73469387755102,0.646464646464647,0.0555555555555556,0.0029609346395881,81,0.988499137435308,1719
26,2,16,"Short","Low",-33.4982,150.50014,1.04954954954955,0.252252252252252,1.746996996997,4.94,0.73469387755102,0.646464646464647,0.0555555555555556,0.00865477871192893,75,0.99872060436213,16393
26,2,33,"Short","Low",-33.4982,150.50014,1.02023692003949,0.248766041461007,0.248766041461007,5.28,0.73469387755102,0.646464646464647,0.0555555555555556,0.00496625009507149,57,1,118
26,2,47,"Short","Low",-33.4982,150.50014,0.591040462427746,0.242774566473988,4.28612716763006,4.68,0.73469387755102,0.646464646464647,0.0555555555555556,0.0224188508332384,66,0.979287489643745,1182
29,1,3,"Long","High",-34.08446,151.07002,0.61875,0.812740384615385,8.62860576923077,5.39,0.565217391304348,0.424749163879599,0.0869565217391304,0.0205550213328746,12,1,3482
29,1,16,"Long","High",-34.08446,151.07002,0.718181818181818,0.254545454545455,4.73636363636364,5.33,0.565217391304348,0.424749163879599,0.0869565217391304,0.00248531608783742,28,1,6719
29,1,47,"Long","High",-34.08446,151.07002,0.175,0.247058823529412,8.95514705882353,5.14,0.565217391304348,0.424749163879599,0.0869565217391304,0.00375065720105612,7,1,294
29,2,3,"Long","High",-34.08446,151.07002,0.934020618556701,1.53479381443299,9.75463917525773,5.47,0.5,0.429203539823009,0.0575221238938053,0.0103740109449615,6,1,5724
29,2,16,"Long","High",-34.08446,151.07002,0.565685643564356,0.635090346534653,17.622077970297,5.38,0.5,0.429203539823009,0.0575221238938053,0.00815461495410472,8,1,28054
29,2,33,"Long","High",-34.08446,151.07002,0.546,0.0765,3.753,5.62,0.5,0.429203539823009,0.0575221238938053,0.00616803302791141,10,1,36
29,2,47,"Long","High",-34.08446,151.07002,0.741346153846154,0.242307692307692,0.242307692307692,5.39,0.5,0.429203539823009,0.0575221238938053,0.00930429217900078,9,0.988616071428571,4429
31,1,3,"Short","High",-33.1823,150.69537,1.11969696969697,0.254545454545455,9.37045454545455,5.61,0.698717948717949,0.647435897435897,0.0384615384615385,0.0143357814402735,22,1,46
31,1,16,"Short","High",-33.1823,150.69537,0.941584158415842,0.24950495049505,7.9470297029703,5.61,0.698717948717949,0.647435897435897,0.0384615384615385,0.00808857745344264,26,0.451282051282051,88
31,1,33,"Short","High",-33.1823,150.69537,1.63960396039604,1.70346534653465,8.39925742574257,5.11,0.698717948717949,0.647435897435897,0.0384615384615385,0.00922449931533724,5,0.995145631067961,3075
31,1,47,"Short","High",-33.1823,150.69537,0.621,0.252,6.96675,5.42,0.698717948717949,0.647435897435897,0.0384615384615385,0.00757430818679361,23,0.987739032620922,8781
31,2,3,"Short","High",-33.1823,150.69537,0.711386138613861,0.24950495049505,3.80717821782178,5.08,0.682352941176471,0.6,0.0529411764705882,0.0228813055405147,29,1,1573
31,2,16,"Short","High",-33.1823,150.69537,0.906,0.252,0.252,5.58,0.682352941176471,0.6,0.0529411764705882,0.00798247262302655,33,0.999545479587902,72571
31,2,33,"Short","High",-33.1823,150.69537,1.746,0.74925,5.41875,5.4,0.682352941176471,0.6,0.0529411764705882,0.00449180485258433,14,1,179
31,2,47,"Short","High",-33.1823,150.69537,0.9,0.248275862068966,4.7807881773399,5.3,0.682352941176471,0.6,0.0529411764705882,0.0212385360045556,4,1,41881
34,1,3,"Short","Low",-33.44346,150.59972,1.41683168316832,0.24950495049505,2.1460396039604,4.83,0.701030927835051,0.642857142857143,0.0306122448979592,0.0238737671248336,25,1,25867
34,1,16,"Short","Low",-33.44346,150.59972,1.00606060606061,0.254545454545455,1.33939393939394,4.83,0.701030927835051,0.642857142857143,0.0306122448979592,0.0041456106362773,19,0.999815563119331,59630
34,1,33,"Short","Low",-33.44346,150.59972,1.3530612244898,0.593112244897959,0.822704081632653,5.09,0.701030927835051,0.642857142857143,0.0306122448979592,0.00782223066531577,21,1,340
34,1,47,"Short","Low",-33.44346,150.59972,1.275,0.242307692307692,2.20096153846154,4.71,0.701030927835051,0.642857142857143,0.0306122448979592,0.0109173960994541,20,1,16554
34,2,3,"Short","Low",-33.44346,150.59972,0.681683168316832,0.48490099009901,6.28663366336634,5.05,0.807339449541284,0.73394495412844,0.0275229357798165,0.00674038050349546,35,1,43472
34,2,16,"Short","Low",-33.44346,150.59972,1.086,0.252,0.6705,4.8,0.807339449541284,0.73394495412844,0.0275229357798165,0.0127586312709627,15,1,85543
34,2,33,"Short","Low",-33.44346,150.59972,1.41515151515152,0.254545454545455,6.99924242424242,4.6,0.807339449541284,0.73394495412844,0.0275229357798165,0.0125087353738787,24,1,5739
34,2,47,"Short","Low",-33.44346,150.59972,0.936057692307692,0.242307692307692,0.242307692307692,4.67,0.807339449541284,0.73394495412844,0.0275229357798165,0.00756291392305019,36,1,488
49,1,3,"Long","Low",-33.26627,150.67812,1.38712871287129,0.24950495049505,12.6972772277228,5.04,0.622047244094488,0.551181102362205,0.0551181102362205,0.00523758635578584,3,1,668
49,1,16,"Long","Low",-33.26627,150.67812,1.51323529411765,1.28970588235294,4.24705882352941,5.06,0.622047244094488,0.551181102362205,0.0551181102362205,0.0177928206997085,18,0.994984882660652,41465
49,1,33,"Long","Low",-33.26627,150.67812,1.0009900990099,0.24950495049505,1.91435643564356,5.04,0.622047244094488,0.551181102362205,0.0551181102362205,0.00970796836982968,32,1,20
49,1,47,"Long","Low",-33.26627,150.67812,0.177142857142857,3.36071428571429,7.49071428571428,5.1,0.622047244094488,0.551181102362205,0.0551181102362205,0.00504617217753947,39,0.988373871806639,6461
49,2,3,"Long","Low",-33.26627,150.67812,3.83019801980198,1.50519801980198,10.3737623762376,4.78,0.628205128205128,0.560509554140127,0.0509554140127389,0.010910109788982,16,1,40608
49,2,16,"Long","Low",-33.26627,150.67812,1.21009615384615,0.242307692307692,9.24735576923077,5.18,0.628205128205128,0.560509554140127,0.0509554140127389,0.00991577329382614,31,0.998541593081682,87639
49,2,47,"Long","Low",-33.26627,150.67812,2.14132653061224,2.5125,0.257142857142857,4.87,0.628205128205128,0.560509554140127,0.0509554140127389,0.0208425577893491,1,1,59
56,1,3,"Long","High",-32.79934,150.90987,1.566,5.6895,10.43025,5.01,0.814814814814815,0.709876543209877,0.0802469135802469,0.00870514763910268,2,0.982542048115819,4615
56,1,33,"Long","High",-32.79934,150.90987,4.5135,0.252,16.20375,4.9,0.814814814814815,0.709876543209877,0.0802469135802469,0.0217565313635184,34,1,368
56,1,47,"Long","High",-32.79934,150.90987,1.58019801980198,7.19034653465347,10.1502475247525,5.18,0.814814814814815,0.709876543209877,0.0802469135802469,0.00650231947799706,17,0.999797353119983,64138
56,2,3,"Long","High",-32.79934,150.90987,6.44567307692308,3.64254807692308,12.4586538461538,4.89,0.782051282051282,0.738853503184713,0.0382165605095541,0.0101812831889946,60,1,15590
56,2,16,"Long","High",-32.79934,150.90987,2.60495049504951,0.24950495049505,5.94950495049505,4.91,0.782051282051282,0.738853503184713,0.0382165605095541,0.00727013698630137,58,0.999655044967352,40571
56,2,33,"Long","High",-32.79934,150.90987,2.4647001934236,4.77200193423598,57.8428433268859,5.01,0.782051282051282,0.738853503184713,0.0382165605095541,0.00249669098828402,61,0.991116699793129,24434
56,2,47,"Long","High",-32.79934,150.90987,1.60328389830508,4.95842161016949,23.0116525423729,5.08,0.782051282051282,0.738853503184713,0.0382165605095541,0.00306082759592142,69,0.988723108952117,11398
