"kingdom","phylum","class","order","family","genus","species","SH_species","OTU","exploration_type","Ecm_lineage","mean_gs"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","unknown","Laccaria_canaliculata","ITSall_OTUb_49","short-distance_delicate","/laccaria","57.595"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius_chalybeus","Cortinarius_chalybeus","ITSall_OTUb_2441","medium-distance_fringe","/cortinarius","62.89"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_8801","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_1415","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_14066","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUa_718","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_2249","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Helotiales_sp","ITSall_OTUj_12319","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_8538","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_549","unknown","unknown","46.43"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_chlamydosporicum","ITSall_OTUj_27906","unknown","unknown","46.43"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","unknown","Thelephoraceae_sp","ITSall_OTUc_1019","medium-distance_smooth","/tomentella-thelephora","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","unknown","Laccaria_canaliculata","ITSall_OTUn_8735","short-distance_delicate","/laccaria","57.595"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentellopsis","unknown","Tomentellopsis_sp","ITSall_OTUj_12577","medium-distance_smooth","/tomentellopsis","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","unknown","Cortinarius_caryotis","ITSall_OTUm_5129","medium-distance_fringe","/cortinarius","62.89"
"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","unknown","Pisolithus_sp","ITSall_OTUb_8161","long-distance","/pisolithus-scleroderma","80.2764285714286"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUj_10663","unknown","unknown","46.43"
"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","unknown","Tomentella_sublilacina","ITSall_OTUb_3024","medium-distance_smooth","/tomentella-thelephora","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina","unknown","Sebacina_sp","ITSall_OTUa_4327","short-distance_delicate","/sebacina","unknown"
