"barcode","sample","OTU","count","resampled_count","resampled_date","kingdom","phylum","class","order","family","genus","species","n","score","SH_species","SH_gb_acc","SH_sh_acc","SH_type","identity","coverage","trophicMode","guild","confidenceRanking","growthForm","trait","notes","citationSource","unite_db_version","date_assigned","Tube_ID","Site","Transect","Location","mass_extracted","Note","guild2","note","exploration_type","Ecm_lineage","myco_reads","mean_gs"
"SMM80",NA,"ITSall_OTUa_13",25,1,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,14,0.933333333333333,"Laccaria_sp","GQ921752","SH1553078.08FU","reps",0.990243902439024,1,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",80,5,2,3,0.234,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/laccaria",3279,57.595
"SMM81",NA,"ITSall_OTUa_13",113,5,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,14,0.933333333333333,"Laccaria_sp","GQ921752","SH1553078.08FU","reps",0.990243902439024,1,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",81,26,2,3,0.453,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/laccaria",1719,57.595
"SMM86",NA,"ITSall_OTUa_13",700,24,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,14,0.933333333333333,"Laccaria_sp","GQ921752","SH1553078.08FU","reps",0.990243902439024,1,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",86,10,2,3,0.423,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/laccaria",6116,57.595
"SMM88",NA,"ITSall_OTUa_13",11,0,NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,14,0.933333333333333,"Laccaria_sp","GQ921752","SH1553078.08FU","reps",0.990243902439024,1,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",88,11,1,16,0.368,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/laccaria",1362,57.595
"SMM90",NA,"ITSall_OTUa_13",41,3,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",NA,14,0.933333333333333,"Laccaria_sp","GQ921752","SH1553078.08FU","reps",0.990243902439024,1,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",90,11,1,3,0.468,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/laccaria",43864,57.595
"SMM14",NA,"ITSall_OTUa_151",85,6,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,2,1,"Tomentella_sp","UDB003341","SH1502301.08FU","refs",0.981651376146789,1,"Symbiotroph","Ectomycorrhizal","Highly Probable","Corticioid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:17:18 2021",14,31,2,33,0.372,NA,"Ectomycorrhizal",NA,"medium-distance_smooth","/tomentella-thelephora",179,NA
"SMM75",NA,"ITSall_OTUa_151",15,0,NA,"Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,2,1,"Tomentella_sp","UDB003341","SH1502301.08FU","refs",0.981651376146789,1,"Symbiotroph","Ectomycorrhizal","Highly Probable","Corticioid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:17:18 2021",75,26,2,16,0.444,NA,"Ectomycorrhizal",NA,"medium-distance_smooth","/tomentella-thelephora",16393,NA
"SMM22",NA,"ITSall_OTUd_1875",16,2,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,1,1,"Inocybe_sp","UDB0612393","SH2617408.08FU","reps_singleton",0.954314720812183,0.984771573604061,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","Sensu stricto (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",22,31,1,3,0.472,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/inocybe",46,NA
"SMM28",NA,"ITSall_OTUd_1875",43,3,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,1,1,"Inocybe_sp","UDB0612393","SH2617408.08FU","reps_singleton",0.954314720812183,0.984771573604061,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","Sensu stricto (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",29,31,2,3,0.414,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/inocybe",1573,NA
"SMM38",NA,"ITSall_OTUd_1875",146,23,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,1,1,"Inocybe_sp","UDB0612393","SH2617408.08FU","reps_singleton",0.954314720812183,0.984771573604061,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","Sensu stricto (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",39,49,1,47,0.28,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/inocybe",6461,NA
"SMM43",NA,"ITSall_OTUd_1875",89,4,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,1,1,"Inocybe_sp","UDB0612393","SH2617408.08FU","reps_singleton",0.954314720812183,0.984771573604061,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","Sensu stricto (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",44,7,2,33,0.279,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/inocybe",12742,NA
"SMM49",NA,"ITSall_OTUd_1875",11,0,NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,1,1,"Inocybe_sp","UDB0612393","SH2617408.08FU","reps_singleton",0.954314720812183,0.984771573604061,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","Sensu stricto (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",50,26,1,33,0.386,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/inocybe",131732,NA
"SMM74",NA,"ITSall_OTUd_1875",29,7,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,1,1,"Inocybe_sp","UDB0612393","SH2617408.08FU","reps_singleton",0.954314720812183,0.984771573604061,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","Sensu stricto (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",74,10,2,16,0.386,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/inocybe",5892,NA
"SMM80",NA,"ITSall_OTUd_1875",19,0,NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,1,1,"Inocybe_sp","UDB0612393","SH2617408.08FU","reps_singleton",0.954314720812183,0.984771573604061,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","Sensu stricto (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",80,5,2,3,0.234,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/inocybe",3279,NA
"SMM81",NA,"ITSall_OTUd_1875",36,2,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,1,1,"Inocybe_sp","UDB0612393","SH2617408.08FU","reps_singleton",0.954314720812183,0.984771573604061,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","Sensu stricto (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",81,26,2,3,0.453,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/inocybe",1719,NA
"SMM88",NA,"ITSall_OTUd_1875",239,14,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,1,1,"Inocybe_sp","UDB0612393","SH2617408.08FU","reps_singleton",0.954314720812183,0.984771573604061,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","Sensu stricto (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",88,11,1,16,0.368,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/inocybe",1362,NA
"SMM90",NA,"ITSall_OTUd_1875",63,3,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,1,1,"Inocybe_sp","UDB0612393","SH2617408.08FU","reps_singleton",0.954314720812183,0.984771573604061,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","Sensu stricto (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",90,11,1,3,0.468,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/inocybe",43864,NA
"SMM94",NA,"ITSall_OTUd_1875",15,2,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,1,1,"Inocybe_sp","UDB0612393","SH2617408.08FU","reps_singleton",0.954314720812183,0.984771573604061,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","Sensu stricto (Matheny 2009).","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",94,5,1,16.2,0.482,NA,"Ectomycorrhizal",NA,"short-distance_delicate","/inocybe",2292,NA
"SMM04",NA,"ITSall_OTUj_1017",61,1,"Thu Oct 24 12:39:10 2024","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,6,1,"Cortinarius_sp","GQ890322","SH1504255.08FU","reps",0.965346534653465,0.995049504950495,"Symbiotroph","Ectomycorrhizal","Highly Probable","Agaricoid","NULL","NULL","Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))","sh_general_release_dynamic_s_10.05.2021","Thu Jul  8 14:30:00 2021",4,31,2,47,0.388,NA,"Ectomycorrhizal",NA,"medium-distance_fringe","/cortinarius",41881,62.89
